Platform name, Total Gap Time, Average Gap Time, Min Value, Max Flight Time 
FQW,522:08:22:02,30:17:26:00,-956,00:02:13:48
FQWL,519:02:51:16,34:14:35:25,-787,00:02:44:05
FQYQ,94:10:57:15,31:11:39:05,-907,00:02:13:16
FR,574:06:04:06,09:17:35:39,-994,00:02:34:39
FRB,471:20:56:19,52:10:19:35,-968,00:02:26:32
FRD,534:01:23:08,178:00:27:42,-984,00:02:00:12
FRK,424:23:43:37,42:11:58:21,-926,00:02:46:22
FRNO,515:19:25:12,42:23:37:06,-999,00:02:09:58
FRS,435:11:12:13,72:13:52:02,-893,00:02:42:05
FRW,414:12:22:21,46:01:22:29,-801,00:02:23:41
FS,572:21:30:48,07:15:19:36,-997,00:02:46:09
FSB,412:03:16:09,51:12:24:31,-863,00:02:38:10
FSEB,511:01:09:12,46:11:00:50,-713,00:02:41:15
FSF,390:23:21:02,32:13:56:45,-802,00:02:12:20
FSIE,455:00:24:09,113:18:06:02,-261,00:02:33:52
FSIX,559:06:12:26,79:21:27:29,-817,00:02:31:05
FSJ,490:14:25:08,49:01:26:30,-883,00:02:44:40
FSTU,501:00:09:47,55:16:01:05,-863,00:02:26:35
FSU,549:19:09:26,36:15:40:37,-994,00:02:41:46
FT,543:22:18:22,12:15:35:18,-830,00:02:39:08
FTA,413:02:32:42,51:15:19:05,-870,00:02:28:59
FTC,502:07:08:33,41:20:35:42,-909,00:02:42:04
FTE,275:15:26:03,30:15:02:53,-930,00:02:36:26
FTHX,472:10:45:57,67:11:49:25,-389,00:02:46:38
FTPQ,527:20:26:42,47:23:40:36,-920,00:02:30:57
FTUJ,245:16:24:12,22:08:02:12,-872,00:02:13:34
FU,550:09:46:38,17:18:07:18,-850,00:02:46:22
FUDV,521:02:10:24,65:03:16:18,-795,00:02:30:29
FUUT,478:14:42:53,47:20:40:17,-882,00:02:44:05
FV,539:01:26:51,25:16:04:08,-956,00:02:43:44
FVCG,465:11:20:50,77:13:53:28,-248,00:02:16:28
FVGT,523:19:40:26,47:14:52:46,-587,00:02:28:09
FVH,457:15:25:47,50:20:22:51,-743,00:02:35:00
FVQ,444:16:46:00,55:14:05:45,-555,00:02:41:23
FVR,437:03:08:06,43:17:06:48,-941,00:02:41:55
FVW,499:11:37:05,55:11:57:27,-849,00:02:34:00
FW,572:03:52:55,11:10:38:15,-999,00:02:45:56
FWA,486:14:56:56,69:12:25:16,-662,00:02:46:05
FWEO,514:15:46:05,46:18:53:16,-944,00:02:44:23
FWGH,549:01:38:31,91:12:16:25,-784,00:01:30:09
FWGQ,496:11:07:34,49:15:30:45,-989,00:02:36:43
FWO,517:22:51:54,47:02:04:43,-853,00:02:43:24
FWXJ,474:14:22:03,52:17:35:47,-923,00:02:33:33
FWZD,542:01:24:44,54:04:56:28,-960,00:02:36:47
FX,499:18:28:12,16:15:48:56,-953,00:02:45:54
FXDN,530:08:47:22,40:19:08:15,-823,00:02:44:48
FXE,497:14:31:41,45:05:41:03,-896,00:02:42:20
FXFS,416:17:00:43,41:16:06:04,-946,00:02:29:30
FXI,518:14:31:53,86:10:25:18,-823,00:02:43:34
FXKO,545:19:12:49,32:02:32:31,-992,00:02:45:36
FXPQ,460:06:58:20,57:12:52:17,-935,00:02:38:39
FXRF,516:08:56:01,51:15:17:36,-910,00:02:39:07
FXRO,425:19:44:15,70:23:17:22,-969,00:02:39:55
FXRX,349:20:22:30,58:07:23:45,-436,00:02:32:11
FXWP,367:01:17:22,73:09:51:28,-889,00:02:36:03
FXY,512:16:37:37,85:10:46:16,-970,00:02:44:57
FY,544:10:01:58,23:16:05:18,-821,00:02:29:56
FYB,113:23:50:09,22:19:10:01,-973,00:02:29:04
FYCP,411:19:26:28,58:19:55:12,-513,00:02:23:32
FYRB,386:23:43:46,42:23:58:11,-918,00:02:22:51
FYUQ,548:23:58:43,34:07:29:55,-692,00:02:46:03
FYXY,496:22:20:44,55:05:08:58,-496,00:02:45:29
FZ,546:02:31:03,22:18:06:17,-952,00:02:40:26
FZE,465:01:35:44,51:16:10:38,-985,00:02:40:57
FZH,559:14:49:14,43:01:08:24,-971,00:02:29:00
FZIA,448:02:28:24,34:11:16:01,-306,00:02:28:50
FZP,397:12:39:43,44:04:04:24,-928,00:02:23:40
FZWB,367:06:46:44,61:05:07:47,-753,00:01:43:39
FZZC,518:12:20:50,74:01:45:50,-910,00:02:39:42
G,578:13:31:39,00:15:22:37,-999,00:02:46:39
GA,241:02:36:41,40:04:26:06,-200,00:02:32:26
GAB,494:15:49:10,123:15:57:17,-888,00:02:16:59
GALU,466:04:57:08,93:05:47:25,-996,00:02:40:05
GAM,419:05:44:19,52:09:43:02,-860,00:02:46:39
GAME,558:11:15:36,79:18:45:05,-955,00:02:14:33
GANP,390:13:36:24,35:12:08:45,-961,00:02:38:45
GAO,545:10:58:44,45:10:54:53,-842,00:02:45:45
GAQ,469:01:51:22,42:15:26:29,-927,00:02:46:10
GAR,150:19:01:01,37:16:45:15,-677,00:02:21:42
GAS,440:22:28:36,48:23:49:50,-905,00:02:14:07
GATP,536:01:41:29,76:13:57:21,-471,00:02:36:39
GAVG,451:05:38:38,75:04:56:26,-771,00:02:18:38
GAXE,466:22:23:57,42:10:45:48,-991,00:02:11:40
GB,563:20:27:49,20:03:18:08,-1000,00:02:44:42
GBF,512:04:07:22,73:04:01:03,-859,00:02:41:41
GBNA,483:14:46:41,48:08:40:40,-331,00:02:37:20
GBYM,480:08:14:20,80:01:22:23,-814,00:02:31:10
GC,553:19:09:41,18:11:02:19,-923,00:02:45:52
GCFL,491:09:30:55,61:10:11:21,-687,00:02:32:02
GCIR,458:23:37:04,65:13:39:34,-752,00:02:40:46
GCJ,377:23:44:27,31:11:58:42,-876,00:02:45:54
GCON,556:14:05:41,185:12:41:53,-442,00:01:35:23
GCSS,498:10:32:56,41:12:52:44,-965,00:02:25:23
GCX,526:20:41:36,65:20:35:12,-991,00:02:43:36
GCYA,255:15:33:39,63:21:53:24,-882,00:02:23:50
GD,559:08:58:50,16:10:51:08,-983,00:02:44:28
GDD,538:00:02:04,25:14:51:31,-985,00:02:37:50
GDIN,281:05:09:33,46:20:51:35,-922,00:02:31:13
GDJZ,456:15:04:19,65:05:34:54,-974,00:02:36:22
GDQD,489:21:36:44,44:12:52:25,-801,00:02:28:44
GDQP,369:01:56:08,52:17:25:09,-899,00:02:46:05
GDWO,360:05:41:09,51:11:05:52,-926,00:02:41:46
GDYG,514:14:16:13,39:14:01:14,-982,00:02:41:16
GDYZ,448:04:10:06,64:00:35:43,-788,00:02:45:39
GE,368:20:06:26,52:16:35:12,-926,00:02:44:21
GEBN,475:11:34:41,43:05:24:58,-980,00:01:54:30
GEBZ,556:16:33:40,61:20:30:24,-876,00:02:43:23
GEE,416:23:34:47,59:13:39:15,-968,00:02:23:46
GEGQ,393:18:16:00,65:15:02:40,-920,00:01:59:23
GEL,485:13:00:23,44:03:21:51,-901,00:02:25:26
GELT,510:08:09:49,39:06:09:59,-888,00:02:19:58
GENY,454:21:12:23,56:20:39:02,-929,00:02:44:55
GEOW,469:22:32:11,46:23:51:13,-986,00:02:31:08
GEQ,534:19:44:50,44:13:38:44,-779,00:02:38:35
GET,551:11:41:11,55:03:34:07,-845,00:02:44:02
GEWN,492:23:06:58,54:18:34:06,-389,00:02:28:24
GF,534:09:34:21,18:10:15:40,-976,00:02:42:44
GFAL,527:19:42:58,65:23:27:52,-888,00:02:34:52
GFD,540:13:57:45,21:14:57:30,-941,00:02:35:37
GFH,408:06:53:58,51:00:51:44,-775,00:02:15:02
GFJR,529:06:52:19,52:22:17:13,-996,00:02:16:41
GFPS,466:07:25:54,58:06:55:44,-254,00:02:33:09
GFX,432:22:52:44,48:02:32:31,0,00:02:16:08
GG,563:06:50:49,06:04:33:31,-963,00:02:45:37
GGA,535:19:37:25,31:12:26:54,-805,00:02:42:00
GGFX,395:01:26:32,56:10:29:30,-950,00:02:34:38
GGLS,225:19:21:08,56:10:50:17,-484,00:02:35:27
GGQ,430:20:38:50,61:13:14:07,-626,00:02:46:07
GGX,365:06:36:11,60:21:06:01,-341,00:02:43:46
GH,555:17:17:50,16:08:16:24,-839,00:02:32:37
GHCR,562:22:39:44,56:07:03:58,-999,00:02:11:27
GHF,444:06:28:02,44:10:14:48,-999,00:02:33:37
GHG,498:15:58:16,83:02:39:42,-606,00:02:01:51
GHK,475:19:39:07,43:06:09:00,-870,00:02:34:56
GHN,351:14:45:56,117:04:55:18,-383,00:02:38:23
GHOO,459:22:30:35,91:23:42:07,-648,00:02:36:22
GHQ,440:05:28:40,29:08:21:54,-898,00:02:31:03
GHRF,487:16:07:45,54:04:27:31,-951,00:02:35:09
GHV,450:12:28:27,64:08:38:21,-404,00:02:38:37
GI,568:07:48:05,11:03:26:49,-999,00:02:26:35
GID,456:13:32:14,41:12:08:23,-495,00:02:29:39
GIG,390:10:42:11,43:09:11:21,-212,00:02:16:04
GIIV,514:17:35:44,46:19:03:14,-826,00:02:14:09
GIM,413:07:17:07,59:01:02:26,-459,00:02:41:44
GIMA,482:07:45:45,40:04:38:48,-835,00:02:42:50
GIQJ,563:18:58:27,70:11:22:18,-871,00:02:40:01
GIYR,517:16:58:45,172:13:39:35,-874,00:02:16:22
GJ,355:07:56:43,59:05:19:27,-576,00:02:25:21
GJB,494:06:58:31,70:14:42:38,-901,00:02:37:46
GJLH,371:06:37:00,92:19:39:15,-843,00:02:32:35
GJX,564:09:37:48,47:00:48:09,-936,00:02:31:47
GK,559:04:27:23,14:17:10:11,-840,00:02:45:06
GKCQ,530:03:11:08,66:06:23:53,-868,00:02:45:53
GKGJ,453:22:53:02,56:17:51:37,-962,00:02:39:43
GKL,293:22:59:06,36:17:52:23,-571,00:02:37:41
GKOF,465:06:54:49,66:11:16:24,-926,00:02:23:14
GKQ,489:03:20:11,44:11:12:44,-949,00:02:38:05
GKRP,363:02:16:48,60:12:22:48,-969,00:02:36:55
GKTI,376:22:57:20,94:05:44:20,-470,00:02:39:02
GL,537:02:44:18,07:11:02:16,-863,00:02:45:47
GLB,306:21:51:40,51:03:38:36,-312,00:02:24:25
GLC,418:05:03:31,38:00:27:35,-813,00:02:38:44
GLD,457:12:23:43,45:18:02:22,-883,00:02:30:19
GLDP,546:15:31:29,91:02:35:14,-774,00:02:16:22
GLGA,208:07:52:00,52:01:58:00,-365,00:02:07:07
GLJ,537:14:39:09,44:19:13:15,-957,00:02:29:16
GLKM,540:11:01:14,45:00:55:06,-986,00:02:20:09
GLSO,288:22:59:39,32:02:33:17,-957,00:02:22:00
GLVW,322:18:16:21,40:08:17:02,-923,00:02:36:34
GLW,555:11:04:51,111:02:12:58,-531,00:01:49:59
GM,551:00:02:44,08:17:54:19,-976,00:02:46:38
GMG,513:19:51:47,73:09:41:41,-825,00:02:44:51
GMLX,542:14:52:47,54:06:17:16,-499,00:02:46:01
GMUX,492:19:12:20,49:06:43:14,-887,00:02:31:20
GMV,335:11:14:24,55:21:52:24,-814,00:01:21:51
GN,536:22:53:51,13:18:25:59,-985,00:02:43:00
GND,547:14:10:03,36:12:08:40,-773,00:02:42:07
GNEJ,469:17:00:09,52:04:33:21,-961,00:02:31:42
GNLN,472:05:58:33,47:05:23:51,-655,00:02:41:56
GNNA,421:20:26:04,70:07:24:20,-989,00:01:42:02
GNP,522:22:45:40,37:08:28:58,-811,00:02:32:57
GNQA,463:20:26:53,57:23:33:21,-942,00:02:26:00
GNQR,455:04:51:46,50:13:52:25,-710,00:02:25:38
GNZ,521:20:07:55,43:11:40:39,-821,00:02:44:49
GO,433:12:56:48,39:09:54:15,-894,00:02:44:35
GOE,461:14:47:16,51:06:58:35,-782,00:02:38:59
GOF,430:05:08:56,143:09:42:58,-584,00:02:13:19
GOFN,555:01:58:37,42:16:46:02,-838,00:02:38:05
GOI,503:03:11:21,62:21:23:55,-921,00:02:37:18
GOM,408:05:19:36,34:00:26:38,-884,00:02:41:50
GOY,510:02:50:36,63:18:21:19,-951,00:02:21:00
GP,566:17:09:37,11:19:21:27,-997,00:02:45:47
GPA,546:23:58:39,45:13:59:53,-940,00:02:42:40
GPGS,457:18:37:19,76:07:06:13,-890,00:02:33:20
GPM,469:15:47:07,33:13:07:39,-902,00:02:46:37
GPPD,372:03:14:35,46:12:24:19,-824,00:02:38:48
GPPO,485:19:55:37,48:13:59:33,-739,00:02:30:22
GPQ,563:17:40:22,70:11:12:32,-748,00:02:29:17
GPQP,112:11:41:38,56:05:50:49,-697,00:02:22:21
GPS,418:20:42:39,34:21:43:33,-938,00:02:46:10
GPU,534:07:46:00,76:07:58:00,-639,00:01:57:05
GPV,428:20:52:25,85:18:34:29,-942,00:02:43:03
GQ,537:11:29:03,14:03:27:36,-952,00:02:42:52
GQEP,451:17:54:10,56:11:14:16,-613,00:02:42:37
GQG,544:07:17:34,60:11:28:37,-999,00:02:06:49
GQH,308:16:18:17,25:17:21:31,-934,00:02:36:28
GQM,376:15:00:24,62:18:30:04,-743,00:02:27:37
GQMU,471:01:06:46,47:02:30:40,-931,00:02:45:10
GQX,462:21:03:32,46:06:54:21,-890,00:02:45:36
GQYN,436:03:17:45,39:15:34:20,-939,00:02:42:31
GR,553:19:08:32,13:04:27:20,-912,00:02:41:56
GRB,520:06:52:45,37:03:55:11,-783,00:02:46:19
GRE,413:22:25:41,68:23:44:16,-814,00:02:19:15
GRGL,297:11:45:51,99:03:55:17,-253,00:02:37:11
GRO,362:09:58:04,30:04:49:50,-800,00:02:23:08
GRRF,411:11:54:58,51:10:29:22,-901,00:02:33:14
GRSX,467:17:12:42,66:19:36:06,-909,00:02:10:31
GRU,532:10:33:46,59:03:50:25,-870,00:02:29:25
GRZ,328:22:54:57,65:18:58:59,-657,00:02:19:55
GS,521:18:17:47,15:08:18:10,-859,00:02:40:22
GST,502:07:21:40,21:20:08:46,-926,00:02:45:33
GSTM,460:18:56:50,65:19:50:58,-211,00:02:21:04
GSUH,542:23:54:04,67:20:59:15,-527,00:02:28:14
GT,538:02:04:42,38:10:26:03,-838,00:02:26:21
GTIG,502:14:23:25,100:12:28:41,-750,00:02:42:06
GTL,545:15:02:59,24:19:13:46,-955,00:02:22:26
GTLC,393:15:15:18,78:17:27:03,-974,00:02:37:28
GTMC,486:00:16:24,97:04:51:16,-931,00:02:38:25
GTO,488:16:26:08,81:10:44:21,-879,00:02:11:40
GU,352:01:22:34,25:03:31:36,-945,00:02:38:13
GUCD,504:02:53:10,72:00:24:44,-786,00:02:38:26
GUL,456:07:26:49,38:00:37:14,-568,00:02:25:31
GUOF,492:13:06:51,37:21:18:59,-878,00:02:32:59
GUPL,417:01:09:54,46:08:07:46,-903,00:02:42:00
GUV,552:00:28:01,30:16:01:33,-917,00:02:46:32
GUY,539:14:00:24,41:12:09:15,-877,00:02:45:44
GUYE,455:04:27:00,56:21:33:22,-439,00:02:43:11
GV,565:22:16:06,11:13:11:20,-999,00:02:45:10
GVF,542:19:32:35,49:08:19:19,-981,00:02:35:12
GVGT,383:23:59:24,47:23:59:55,-953,00:02:18:33
GVH,552:18:05:59,61:10:00:39,-651,00:02:19:43
GVK,545:05:13:28,68:03:39:11,-760,00:02:42:06
GVM,526:08:58:35,65:19:07:19,-986,00:02:17:29
GVTB,537:00:56:04,48:19:43:16,-771,00:02:46:21
GVW,518:18:59:13,51:21:05:55,-162,00:02:22:25
GVXQ,481:19:20:41,53:12:48:57,-972,00:02:41:39
GVZY,537:03:31:17,44:18:17:36,-960,00:02:04:54
GW,526:10:43:46,27:16:59:08,-993,00:02:46:34
GWB,533:17:13:25,133:10:18:21,-722,00:02:40:45
GWF,464:23:08:15,46:11:54:49,-846,00:02:37:13
GWJ,515:04:13:30,42:22:21:07,-668,00:02:33:19
GWM,186:10:03:36,46:14:30:54,-257,00:02:39:40
GWNS,516:23:43:55,57:10:38:12,-957,00:02:27:12
GWP,527:01:15:11,65:21:09:23,-926,00:02:44:39
GWR,450:21:42:42,50:02:24:44,-975,00:02:23:19
GWV,463:01:14:45,66:03:36:23,-686,00:02:29:38
GX,569:07:03:36,09:19:34:12,-980,00:02:46:15
GXB,521:04:22:06,65:03:32:45,-877,00:02:36:37
GXCS,283:12:14:02,56:16:50:48,-757,00:01:40:25
GXE,432:06:26:34,61:18:03:47,-942,00:02:46:30
GXK,388:11:31:13,77:16:42:14,-702,00:02:06:08
GXSR,522:20:19:36,58:02:15:30,-873,00:02:40:55
GXZ,419:10:53:27,46:14:32:36,-877,00:02:42:35
GY,569:12:46:08,12:22:39:13,-884,00:02:45:04
GYAK,394:05:03:32,65:16:50:35,-718,00:02:46:26
GYD,412:09:18:57,41:05:43:53,-521,00:02:45:00
GYFX,571:23:14:48,57:04:43:28,-478,00:02:38:33
GYGM,539:07:02:08,67:09:52:46,-1000,00:02:00:29
GYIG,465:06:14:56,51:16:41:39,-919,00:02:31:55
GYJ,553:07:08:29,34:13:56:46,-595,00:02:43:19
GYJH,444:21:15:20,74:03:32:33,-754,00:02:33:17
GYY,501:06:03:25,62:15:45:25,-668,00:02:22:48
GZ,550:22:39:00,14:03:02:32,-991,00:02:46:17
GZJ,470:23:43:34,47:02:22:21,-732,00:02:29:24
GZKO,569:14:45:55,81:08:57:59,-694,00:02:39:40
GZLC,420:23:52:53,38:06:32:04,-638,00:02:23:52
GZNX,490:13:09:40,81:18:11:36,-961,00:02:24:40
GZP,466:01:11:19,51:18:47:55,-851,00:02:22:18
GZX,516:10:01:15,57:09:06:48,-991,00:02:24:53
GZYL,411:02:17:47,102:18:34:26,-484,00:02:33:34
H,577:07:44:11,00:19:44:15,-996,00:02:46:38
HA,572:09:52:21,07:20:11:24,-1000,00:02:41:38
HAB,414:19:47:52,46:02:11:59,-934,00:02:39:50
HAI,430:02:36:57,47:18:57:26,-619,00:02:40:04
HAKC,488:16:18:00,48:20:49:48,-725,00:02:31:15
HAN,570:05:24:30,33:13:01:26,-792,00:02:45:51
HANB,457:22:46:38,35:05:26:39,-918,00:02:36:35
HANL,558:20:57:02,62:02:19:40,-830,00:02:32:19
HANV,421:20:50:45,42:04:29:04,-662,00:02:30:30
HAZ,485:06:37:29,69:07:48:12,-560,00:02:39:41
HB,563:14:16:14,24:12:05:55,-923,00:02:45:53
HBFD,548:14:34:20,39:04:28:10,-861,00:02:38:47
HBHU,457:12:20:14,65:08:37:10,-930,00:02:09:24
HBR,526:14:47:04,43:21:13:55,-976,00:02:44:06
HBW,565:12:40:15,47:03:03:21,-984,00:02:42:47
HC,496:07:00:56,27:13:43:23,-849,00:02:36:33
HCBU,487:14:33:18,54:04:17:02,-966,00:02:23:11
HCDB,543:15:15:54,49:10:06:54,-882,00:02:43:42
HCL,410:04:21:11,82:00:52:14,-904,00:02:00:59
HCT,494:08:25:49,70:14:55:07,-919,00:02:23:30
HCU,562:11:35:04,70:07:26:53,-896,00:02:29:14
HD,522:12:47:49,32:15:47:59,-940,00:02:46:28
HDED,537:03:49:27,44:18:19:07,-961,00:02:41:07
HDN,492:13:32:38,70:08:47:31,-939,00:02:14:52
HDO,482:12:45:47,40:05:03:48,-938,00:02:28:01
HDOZ,337:06:11:20,42:03:46:25,-735,00:02:14:35
HDRC,452:07:53:22,113:01:58:20,-775,00:01:00:56
HDUD,508:02:24:00,50:19:26:24,-970,00:02:37:08
HDX,535:07:29:43,53:12:44:58,-907,00:02:32:41
HDZM,545:03:29:43,49:13:24:31,-738,00:02:44:50
HE,572:14:09:19,20:10:47:28,-792,00:02:42:51
HEDS,359:01:13:55,119:16:24:38,-975,00:02:33:47
HEEA,480:00:22:19,36:22:10:56,-793,00:02:45:50
HEIQ,545:19:57:04,45:11:39:45,-959,00:02:36:46
HESO,507:05:39:38,46:02:41:47,-962,00:02:41:17
HET,292:13:19:27,48:18:13:14,-569,00:02:42:51
HEU,469:15:17:18,33:13:05:31,-804,00:02:42:59
HEUT,450:06:45:26,45:00:40:32,-835,00:02:46:15
HF,509:23:14:02,11:20:38:00,-982,00:02:45:55
HFA,538:09:33:09,48:22:41:11,-889,00:02:17:56
HFEH,439:22:40:04,54:23:50:00,-649,00:02:35:51
HFG,520:09:14:24,52:00:55:26,-858,00:02:43:22
HFI,505:15:53:45,72:05:41:57,-803,00:02:46:27
HFM,522:10:42:24,47:11:52:56,-312,00:02:45:01
HFNM,444:22:44:56,29:15:54:59,-994,00:02:28:17
HFQO,471:17:16:13,52:09:55:08,-313,00:02:26:05
HFXN,489:13:23:10,69:22:29:01,-368,00:01:21:39
HFZL,520:01:59:30,74:07:08:30,-555,00:02:11:41
HG,549:20:45:56,21:23:52:14,-975,00:02:44:05
HGEV,360:09:12:04,36:00:55:12,-440,00:02:42:21
HGFJ,464:00:43:08,58:00:05:23,-976,00:02:30:24
HGGZ,562:06:54:13,43:06:04:10,-849,00:02:13:14
HGKG,544:10:01:03,77:18:34:26,-938,00:02:37:19
HGQU,425:04:32:47,60:17:47:32,-916,00:02:45:35
HGUZ,482:07:15:49,53:14:08:25,-929,00:02:42:35
HGXM,456:12:24:48,38:01:02:04,-889,00:02:40:05
HH,555:23:49:08,32:16:55:49,-956,00:02:42:48
HHAF,383:22:00:45,76:18:48:09,-797,00:02:44:24
HHCN,490:15:08:22,70:02:09:46,-993,00:02:26:59
HHDL,513:07:12:10,51:07:55:13,-874,00:02:34:00
HHEP,501:12:47:40,71:15:32:31,-655,00:02:18:52
HHF,561:08:13:30,70:04:01:41,-959,00:02:37:42
HHN,558:14:39:26,21:11:38:26,-959,00:02:35:29
HHNP,524:04:18:20,43:16:21:31,-843,00:02:16:32
HHNR,385:14:03:05,64:06:20:30,-792,00:02:36:21
HHPD,348:14:41:55,69:17:20:23,-856,00:02:32:18
HI,520:12:13:18,18:14:09:02,-914,00:02:22:00
HIL,506:09:57:38,46:00:54:19,-731,00:02:32:01
HIM,526:02:37:43,47:19:52:31,-954,00:02:42:33
HINY,494:22:36:24,61:20:49:33,-585,00:01:56:06
HIQI,440:17:08:19,40:01:33:29,-995,00:02:02:05
HIS,511:10:13:46,56:19:48:11,-849,00:02:10:20
HITK,511:12:48:15,42:15:04:01,-991,00:02:44:53
HIV,538:13:58:21,76:22:34:03,-885,00:02:46:38
HIZ,313:02:25:49,44:17:29:24,-704,00:02:26:51
HJ,556:11:34:43,16:08:48:40,-974,00:02:40:35
HJBK,541:03:34:35,38:15:41:02,-980,00:02:45:44
HJK,473:09:29:34,47:08:08:57,-888,00:02:32:35
HJMA,529:17:43:24,58:20:38:09,-987,00:02:42:34
HJNL,516:00:20:14,57:08:02:14,-767,00:02:40:53
HJOQ,448:08:33:57,37:08:42:49,-920,00:02:40:18
HK,545:16:46:18,18:04:33:32,-996,00:02:38:46
HKDN,538:15:08:48,53:20:42:52,-990,00:02:33:57
HKHT,314:08:21:39,52:09:23:36,-610,00:02:28:55
HKJL,464:10:22:12,42:05:18:22,-963,00:02:45:36
HKR,431:23:38:07,39:06:30:44,-969,00:02:34:33
HL,566:06:03:01,10:21:20:49,-996,00:02:44:01
HLE,399:06:17:55,44:08:41:59,-927,00:02:18:12
HLH,458:07:46:09,57:06:58:16,-916,00:02:34:08
HLN,465:22:28:07,42:08:35:17,-973,00:02:04:38
HLPR,545:03:13:27,60:13:41:29,-889,00:02:13:45
HLU,536:11:20:52,76:15:20:07,-926,00:02:41:28
HLW,215:00:51:09,71:16:17:03,-200,00:02:20:24
HLYA,529:06:24:23,58:19:22:42,-572,00:02:42:14
HM,552:14:11:59,08:08:56:32,-976,00:02:46:19
HMIF,534:08:03:40,59:08:53:44,-763,00:02:45:57
HMJ,538:12:14:50,29:22:00:49,-920,00:02:33:58
HMKO,477:05:59:39,59:15:44:57,-986,00:02:04:37
HMM,370:13:45:21,52:22:32:11,-815,00:02:40:01
HMX,505:11:38:05,101:02:19:37,-773,00:02:04:48
HN,536:21:10:54,07:16:04:26,-983,00:02:44:58
HND,490:13:59:42,40:21:09:58,-624,00:02:42:20
HNEL,481:01:01:26,80:04:10:14,-980,00:02:35:57
HNP,467:06:51:20,66:18:07:20,-913,00:02:32:17
HNU,567:18:33:23,37:20:26:13,-884,00:02:45:47
HNW,466:05:49:39,51:19:18:51,-642,00:02:42:12
HNY,540:12:22:29,60:01:22:29,-850,00:01:48:22
HNZC,507:16:04:19,42:07:20:21,-976,00:02:36:58
HO,551:08:44:23,22:01:18:34,-850,00:02:45:34
HOA,500:07:01:09,45:11:32:49,-934,00:02:33:04
HOD,567:23:23:19,70:23:55:24,-989,00:02:29:27
HOFN,529:17:22:51,75:16:11:50,-373,00:02:35:50
HOHG,439:19:50:45,54:23:28:50,-873,00:02:24:14
HOOC,389:21:24:46,97:11:21:11,-989,00:02:45:42
HORJ,519:02:57:01,37:01:55:30,-473,00:02:44:09
HOTK,533:23:03:27,44:11:55:17,-908,00:02:35:46
HOV,531:15:38:11,35:10:38:32,-995,00:02:41:25
HOW,384:01:03:09,34:21:54:49,-907,00:02:42:06
HP,565:07:46:05,09:02:50:05,-992,00:02:46:24
HPAB,558:21:26:22,62:02:22:55,-936,00:02:31:49
HPB,451:23:58:22,56:11:59:47,-909,00:02:43:26
HPE,514:10:00:11,24:11:54:17,-889,00:02:42:27
HPEO,554:02:48:07,61:13:38:40,-744,00:02:46:05
HPGZ,441:18:19:02,40:03:50:49,-960,00:02:44:24
HPK,430:10:27:06,86:02:05:25,-689,00:02:46:21
HPNR,511:09:09:20,56:19:41:02,-800,00:02:42:51
HPW,550:12:29:05,55:01:14:54,-900,00:02:36:46
HPXR,570:02:28:33,35:15:09:17,-894,00:02:46:09
HQ,577:12:59:08,16:01:01:38,-980,00:02:39:59
HQD,517:02:22:39,43:02:11:53,-890,00:02:44:02
HQH,484:09:54:37,60:13:14:19,-885,00:02:32:39
HQJO,488:04:57:49,61:00:37:13,-981,00:02:10:31
HQKG,365:10:09:03,36:13:00:54,-493,00:02:07:59
HQKW,499:02:14:36,62:09:16:49,-868,00:02:41:56
HQM,517:12:04:52,39:19:23:27,-921,00:02:41:31
HQOF,523:04:19:20,65:09:32:25,-860,00:02:36:54
HQU,508:18:47:28,46:06:04:18,-854,00:02:39:25
HQV,391:14:19:50,65:06:23:18,-738,00:01:55:41
HQXR,459:00:31:45,45:21:39:10,-796,00:02:18:59
HR,532:15:11:14,21:07:19:38,-856,00:02:44:57
HRC,399:21:12:11,99:23:18:02,-878,00:02:32:55
HRGK,434:15:18:42,108:15:49:40,-259,00:02:18:23
HRK,388:08:29:09,194:04:14:34,0,00:02:42:48
HRKR,489:18:57:06,48:23:29:42,-864,00:02:09:23
HRT,529:08:13:09,105:20:50:37,-601,00:02:19:39
HRU,557:16:50:23,32:19:20:36,-914,00:02:46:05
HRXJ,419:20:56:48,52:11:37:06,-307,00:02:30:09
HS,547:09:08:54,09:10:30:09,-912,00:02:44:24
HSAJ,468:23:25:53,36:01:48:08,-640,00:02:29:39
HSB,497:21:20:25,62:05:40:03,-746,00:01:44:13
HSD,564:15:34:38,47:01:17:53,-836,00:02:36:51
HSE,441:12:41:25,63:01:48:46,-843,00:02:38:01
HSH,483:22:02:36,34:13:34:28,-964,00:02:13:13
HSQ,487:03:53:07,48:17:11:18,-601,00:02:03:16
HST,510:19:48:19,56:18:12:02,-519,00:02:45:57
HSV,559:08:39:33,25:10:12:42,-734,00:02:43:59
HSXH,445:15:16:25,31:19:56:53,-875,00:02:37:17
HSY,575:13:59:55,38:08:55:59,-952,00:02:37:45
HT,546:00:20:31,17:14:43:14,-956,00:02:43:41
HTP,515:07:43:46,39:15:21:49,-869,00:02:40:52
HTU,522:07:18:24,43:12:36:32,-998,00:02:44:44
HTXX,453:01:03:21,34:20:23:20,-880,00:02:38:52
HTXY,367:19:58:50,52:13:08:24,-743,00:02:43:41
HTZL,558:17:21:30,42:23:29:20,-883,00:02:45:47
